name,comnum,company,display,clevel,cpu,cpu2,cpu3,os,memory,ssd,weight,glevel,graphic,price
MSI GP시리즈 Vector GP76 12UGS QHD,1,MSI,17.3,5,인텔,코어i7-12세대,i7-12700H ,미포함(프리도스),16,512,2.9,6,RTX3070 Ti,2628990
삼성전자 갤럭시북2 프로 NT950XEE-X71A,2,삼성전자,15.6,5,인텔,코어i7-12세대,i7-1260P ,윈도우11홈,16,1000,1.17,3,Arc A350M,2136540
APPLE 2021 맥북프로16 MK183KH/A,1,APPLE,16.2,5,애플(ARM),실리콘 M1 PRO,APL1103,macOS Monterey,16,512,2.1,3,M1 8 core,3060280
APPLE 2021 맥북프로16 MK193KH/A,1,APPLE,16.2,5,애플(ARM),실리콘 M1 PRO,APL1103,macOS Monterey,16,512,2.1,3,M1 8 core,3306200
삼성전자 갤럭시북2 프로360 NT930QED-K71A,2,삼성전자,13.3,5,인텔,코어i7-12세대,i7-1260P ,윈도우11홈,16,512,1.04,1,Iris Xe,2349000
삼성전자 갤럭시북2 프로360 NT950QED-K71A,2,삼성전자,15.6,5,인텔,코어i7-12세대,i7-1260P ,윈도우11홈,16,512,1.41,1,Iris Xe,2326550
LG전자 2022 그램17(12세대) 17Z90Q-EA76K,2,LG전자,17,5,인텔,코어i7-12세대,i7-1260P ,윈도우11홈,16,512,1.45,5,RTX2050,2609000
MSI GP시리즈 Vector GP76 12UGS 32GB램,1,MSI,17.3,5,인텔,코어i7-12세대,i7-12700H ,미포함(프리도스),32,512,2.9,6,RTX3070 Ti,2688390
LG전자 2021 울트라기어 17UD70P-PX76K WIN10 32GB램,2,LG전자,17,4,인텔,코어i7-11세대,i7-1165G7 ,윈도우10,32,256,1.95,5,GTX1650 Ti,2101130
MSI GE시리즈 레이더 GE76 12UGS QHD,1,MSI,17.3,5,인텔,코어i7-12세대,i7-12700H ,미포함(프리도스),32,1000,2.9,6,RTX3070 Ti,3990000
ASUS ROG SCAR G733ZS-LL015,1,ASUS,17.3,6,인텔,코어i9-12세대,i9-12900H ,미포함(프리도스),16,1000,2.9,6,RTX3080,3299000
ASUS ROG 제피러스 M16 GU603ZX-K8001W,1,ASUS,16,6,인텔,코어i9-12세대,i9-12900H ,윈도우11홈,16,1000,1.9,6,RTX3080 Ti,4349000
MSI 크리에이터 Z16 A11UE WIN10,1,MSI,16,4,인텔,코어i7-11세대,i7-11800H ,윈도우10 프로,16,512,2.2,5,RTX3060,2098990
MSI GE시리즈 레이더 GE66 12UGS QHD,1,MSI,15.6,5,인텔,코어i7-12세대,i7-12700H ,미포함(프리도스),16,1000,2.38,6,RTX3070 Ti,3130000
ASUS ROG SCAR G733ZM-LL035 24GB램,1,ASUS,17.3,5,인텔,코어i7-12세대,i7-12700H ,미포함(프리도스),24,1000,2.9,5,RTX3060,2450000
MSI GS시리즈 Stealth GS66 12UGS QHD,1,MSI,15.6,5,인텔,코어i7-12세대,i7-12700H ,미포함(프리도스),32,1000,2.1,6,RTX3070 Ti,3250800
MSI GE시리즈 레이더 GE76 12UH-i9 4K WIN10,1,MSI,17.3,6,인텔,코어i9-12세대,i9-12900HK ,윈도우10,32,1000,2.9,6,RTX3080,4990000
MSI GP시리즈 Vector GP66 12UH 32GB램,1,MSI,15.6,6,인텔,코어i9-12세대,i9-12900H ,미포함(프리도스),32,1000,2.38,6,RTX3080,3370000
MSI GE시리즈 레이더 GE76 12UH-i9 4K WIN11,1,MSI,17.3,6,인텔,코어i9-12세대,i9-12900HK ,윈도우11(설치),32,2000,2.9,6,RTX3080,4662390
APPLE 2021 맥북프로14 MKGQ3KH/A,1,APPLE,14.2,5,애플(ARM),실리콘 M1 PRO,APL1103,macOS Monterey,16,1000,1.6,3,M1 8 core,3072640
APPLE 2021 맥북프로14 MKGP3KH/A,1,APPLE,14.2,5,애플(ARM),실리콘 M1 PRO,APL1103,macOS Monterey,16,512,1.6,3,M1 8 core,3048990
MSI GP시리즈 Vector GP66 12UGS,1,MSI,15.6,5,인텔,코어i7-12세대,i7-12700H ,미포함(프리도스),16,1000,2.38,5,RTX3070 Ti,2459600
LG전자 2022 그램360 16T90Q-GA79K,2,LG전자,16,5,인텔,코어i7-12세대,i7-1260P ,윈도우11홈,16,512,1.48,1,Iris Xe,2439000
ASUS ROG Flow X13 GV301QE-K6052T,1,ASUS,13.4,5,AMD,라이젠9-4세대,5900HS ,윈도우10,16,1000,1.3,4,RTX3050 Ti,2190000
삼성전자 갤럭시북 프로360 5G NT935QDB-KC71S,2,삼성전자,13.3,4,인텔,코어i7-11세대,i7-1160G7 ,윈도우11홈,16,512,1.07,1,Iris Xe,2024970
HP 엔비 15-ep1063TX W11,1,HP,15.6,6,인텔,코어i9-11세대,i9-11900H ,윈도우11홈,32,512,2.15,5,RTX3060,2599000
